#salary			TUD	type側
No	Code	Sort	年収	年収
1	7	1	200万円	200万円
2	8	2	250万円	250万円
3	9	3	300万円	300万円
4	10	4	350万円	350万円
5	11	5	400万円	400万円
6	12	6	450万円	450万円
7	13	7	500万円	500万円
8	14	8	550万円	550万円
9	15	9	600万円	600万円
10	16	10	650万円	650万円
11	17	11	700万円	700万円
12	18	12	750万円	750万円
13	19	13	800万円	800万円
14	20	14	850万円	850万円
15	21	15	900万円	900万円
16	22	16	950万円	950万円
17	23	17	1000万円	1000万円
18	24	18	1050万円	1050万円
19	25	19	1100万円	1100万円
20	26	20	1150万円	1150万円
21	27	21	1200万円	1200万円
22	28	22	1250万円	1250万円
23	29	23	1300万円	1300万円
24	30	24	1350万円	1350万円
25	31	25	1400万円	1400万円
26	32	26	1500万円	1500万円
