#entryPlace			
No	Code	Sort	小分類
1	10	10	北海道
2	11	11	青森県
3	12	12	岩手県
4	13	13	宮城県
5	14	14	秋田県
6	15	15	山形県
7	16	16	福島県
8	17	17	茨城県
9	18	18	栃木県
10	19	19	群馬県
11	20	6	埼玉県
12	21	7	千葉県
13	22	2	東京都(23区を除く)
14	23	1	東京23区
15	24	5	神奈川県(横浜市、川崎市を除く)
16	25	3	横浜市
17	26	4	川崎市
18	27	20	新潟県
19	28	21	山梨県
20	29	22	長野県
21	30	23	富山県
22	31	24	石川県
23	32	25	福井県
24	33	28	岐阜県
25	34	27	静岡県
26	35	26	愛知県
27	36	29	三重県
28	37	32	滋賀県
29	38	31	京都府
30	39	9	大阪府(大阪市を除く)
31	40	8	大阪市
32	41	30	兵庫県
33	42	33	奈良県
34	43	34	和歌山県
35	44	37	鳥取県
36	45	38	島根県
37	46	36	岡山県
38	47	35	広島県
39	48	39	山口県
40	49	40	徳島県
41	50	41	香川県
42	51	42	愛媛県
43	52	43	高知県
44	53	44	福岡県
45	54	46	佐賀県
46	55	47	長崎県
47	56	45	熊本県
48	57	48	大分県
49	58	49	宮崎県
50	59	50	鹿児島県
51	60	51	沖縄県
52	61	52	アジア
53	62	53	中近東・アフリカ
54	63	54	ヨーロッパ
55	64	55	北米
56	65	56	中南米
57	66	57	オセアニア
58	67	58	その他海外
