#jobType			TUD			
No	Code	Sort	大分類	Code	Sort	小分類
1	Grp1	1	ITエンジニア（オープン・Web系）	1	1	プロジェクトマネージャー、プロジェクトリーダー
2	Grp1	1	ITエンジニア（オープン・Web系）	3	2	システムエンジニア
3	Grp1	1	ITエンジニア（オープン・Web系）	4	3	アプリケーション開発エンジニア
4	Grp1	1	ITエンジニア（オープン・Web系）	6	4	プログラマー
5	Grp1	1	ITエンジニア（オープン・Web系）	5	5	データベース設計・構築
6	Grp2	2	ITエンジニア（汎用機系）	11	6	プロジェクトマネージャー、プロジェクトリーダー
7	Grp2	2	ITエンジニア（汎用機系）	13	7	システムエンジニア
8	Grp2	2	ITエンジニア（汎用機系）	15	8	プログラマー
9	Grp2	2	ITエンジニア（汎用機系）	14	9	データベース設計・構築
10	Grp3	3	ITエンジニア（制御・ファームウェア・組込系）	7	10	プロジェクトマネージャー、プロジェクトリーダー
11	Grp3	3	ITエンジニア（制御・ファームウェア・組込系）	129	11	システムエンジニア
12	Grp3	3	ITエンジニア（制御・ファームウェア・組込系）	9	12	アプリケーション開発エンジニア
13	Grp3	3	ITエンジニア（制御・ファームウェア・組込系）	10	13	プログラマー
14	Grp4	4	ITエンジニア系（その他）	16	14	プロジェクトマネージャー、プロジェクトリーダー（パッケージソフト開発）
15	Grp4	4	ITエンジニア系（その他）	130	15	システムエンジニア（パッケージソフト開発）
16	Grp4	4	ITエンジニア系（その他）	18	16	プログラマー（パッケージソフト開発）
17	Grp4	4	ITエンジニア系（その他）	131	17	データベース運用・管理
18	Grp4	4	ITエンジニア系（その他）	20	18	ネットワーク設計・構築
19	Grp4	4	ITエンジニア系（その他）	21	19	ネットワーク運用・監視
20	Grp4	4	ITエンジニア系（その他）	29	20	ネットワーク・サーバ運用・保守
21	Grp4	4	ITエンジニア系（その他）	22	21	サーバ設計・構築
22	Grp4	4	ITエンジニア系（その他）	45	22	通信インフラ設計・構築（有線・無線系）
23	Grp4	4	ITエンジニア系（その他）	47	23	通信インフラ施工・保守・運用
24	Grp4	4	ITエンジニア系（その他）	27	24	テクニカルサポート（ソフトウェア）
25	Grp4	4	ITエンジニア系（その他）	28	25	テクニカルサポート（ネットワーク）
26	Grp4	4	ITエンジニア系（その他）	30	26	システム保守・運用オペレーター
27	Grp4	4	ITエンジニア系（その他）	31	27	システム導入・運用トレーナー
28	Grp4	4	ITエンジニア系（その他）	32	28	社内SE
29	Grp4	4	ITエンジニア系（その他）	132	29	テスター・テストエンジニア
30	Grp4	4	ITエンジニア系（その他）	133	30	フロントエンド・マークアップエンジニア
31	Grp4	4	ITエンジニア系（その他）	134	31	ITアーキテクト
32	Grp4	4	ITエンジニア系（その他）	33	32	その他ITエンジニア系職種
33	Grp5	5	電子・電気技術・メカトロ技術者	34	33	要求分析、システム設計
34	Grp5	5	電子・電気技術・メカトロ技術者	35	34	デジタル回路設計
35	Grp5	5	電子・電気技術・メカトロ技術者	36	35	アナログ回路設計
36	Grp5	5	電子・電気技術・メカトロ技術者	37	36	メカトロニクス関連技術者
37	Grp5	5	電子・電気技術・メカトロ技術者	40	37	システムLSI設計
38	Grp5	5	電子・電気技術・メカトロ技術者	41	38	デジタルIC設計
39	Grp5	5	電子・電気技術・メカトロ技術者	42	39	アナログIC設計
40	Grp5	5	電子・電気技術・メカトロ技術者	43	40	プロセス開発
41	Grp5	5	電子・電気技術・メカトロ技術者	48	41	光学機器設計・開発
42	Grp5	5	電子・電気技術・メカトロ技術者	52	42	機械・機構設計（自動車、輸送機器、装置、各種部品）
43	Grp5	5	電子・電気技術・メカトロ技術者	50	43	機械・機構設計（電子・精密機器）
44	Grp5	5	電子・電気技術・メカトロ技術者	44	44	電気通信機器設計・開発
45	Grp5	5	電子・電気技術・メカトロ技術者	53	45	金型設計
46	Grp5	5	電子・電気技術・メカトロ技術者	54	46	生産技術エンジニア
47	Grp5	5	電子・電気技術・メカトロ技術者	55	47	品質管理・保証（技術系）
48	Grp5	5	電子・電気技術・メカトロ技術者	56	48	生産管理（技術系）
49	Grp5	5	電子・電気技術・メカトロ技術者	57	49	セールスエンジニア
50	Grp5	5	電子・電気技術・メカトロ技術者	58	50	サービスエンジニア
51	Grp5	5	電子・電気技術・メカトロ技術者	59	51	FAE、サポートエンジニア
52	Grp5	5	電子・電気技術・メカトロ技術者	60	52	基礎・応用研究・研究開発
53	Grp5	5	電子・電気技術・メカトロ技術者	62	53	工業デザイナー
54	Grp5	5	電子・電気技術・メカトロ技術者	63	54	その他 電子・電気技術・メカトロ技術関連職
55	Grp6	6	営業系	83	55	企画営業、コンサルティング営業（法人向け）
56	Grp6	6	営業系	84	56	企画営業、コンサルティング営業（個人向け）
57	Grp6	6	営業系	85	57	技術営業
58	Grp6	6	営業系	86	58	内勤営業
59	Grp6	6	営業系	87	59	ルート営業
60	Grp6	6	営業系	88	60	海外営業
61	Grp6	6	営業系	89	61	MR
62	Grp6	6	営業系	90	62	営業管理・営業マネージャー
63	Grp6	6	営業系	91	63	キャリアカウンセラー・人材派遣コーディネーター
64	Grp6	6	営業系	92	64	その他営業職
65	Grp6	6	営業系	93	65	コールセンタースーパーバイザー（運営・管理）
66	Grp6	6	営業系	94	66	ヘルプデスク・カスタマーサポート
67	Grp6	6	営業系	95	67	テレフォンオペレーター、テレフォンアポインター
68	Grp7	7	販売員・サービススタッフ系	98	68	店舗開発
69	Grp7	7	販売員・サービススタッフ系	97	69	スーパーバイザー、エリアマネージャー、店長
70	Grp7	7	販売員・サービススタッフ系	96	70	販売、サービス、飲食関連スタッフ
71	Grp7	7	販売員・サービススタッフ系	140	71	ホールスタッフ・調理補助
72	Grp7	7	販売員・サービススタッフ系	141	72	ラウンダー
73	Grp7	7	販売員・サービススタッフ系	145	73	介護・福祉
74	Grp7	7	販売員・サービススタッフ系	142	74	マンション管理員・マンションコンシェルジュ
75	Grp7	7	販売員・サービススタッフ系	144	75	理美容・エステ関連職
76	Grp7	7	販売員・サービススタッフ系	143	76	旅行・ホテル・ブライダル関連職
77	Grp7	7	販売員・サービススタッフ系	146	77	警備員・清掃
78	Grp7	7	販売員・サービススタッフ系	99	78	その他 販売員・サービススタッフ関連職
79	Grp7	7	販売員・サービススタッフ系	119	79	パーソナルトレーナー・講師・インストラクター
80	Grp7	7	販売員・サービススタッフ系	121	80	その他専門職（医療、介護、看護、美容等）
81	Grp7	7	販売員・サービススタッフ系	149	81	教室長・スクールマネージャー
82	Grp7	7	販売員・サービススタッフ系	120	82	翻訳・通訳
83	Grp7	7	販売員・サービススタッフ系	147	83	タクシードライバー・その他ドライバー
84	Grp7	7	販売員・サービススタッフ系	148	84	メカニック・整備士
85	Grp8	8	事務・管理部門系	106	85	総務
86	Grp8	8	事務・管理部門系	105	86	経営企画・事業企画
87	Grp8	8	事務・管理部門系	107	87	人事・労務管理
88	Grp8	8	事務・管理部門系	108	88	経理
89	Grp8	8	事務・管理部門系	109	89	会計・財務
90	Grp8	8	事務・管理部門系	110	90	知的財産・法務
91	Grp8	8	事務・管理部門系	111	91	購買・資材調達
92	Grp8	8	事務・管理部門系	138	92	生産、品質管理（事務系）
93	Grp8	8	事務・管理部門系	112	93	一般事務、営業事務、貿易事務
94	Grp8	8	事務・管理部門系	139	94	営業アシスタント
95	Grp8	8	事務・管理部門系	113	95	秘書・受付事務
96	Grp8	8	事務・管理部門系	114	96	その他 事務・管理部門系関連職
97	Grp9	9	企画・マーケティング系	100	97	マーケティング、営業企画
98	Grp9	9	企画・マーケティング系	136	98	Webマーケティング（Web広告/SEMなど）
99	Grp9	9	企画・マーケティング系	101	99	リサーチャー・データサイエンティスト
100	Grp9	9	企画・マーケティング系	102	100	商品開発・商品企画
101	Grp9	9	企画・マーケティング系	103	101	バイヤー・マーチャンダイザー
