#prCode			TUD
No	Code	Sort	PRコードラベル名
4	1	1	職種未経験歓迎
5	5	2	学歴不問
6	27	3	第二新卒歓迎
7	77	35	社会人経験20年以上歓迎
8	76	4	採用予定人数5名以上
9	53	16	完全週休2日制
10	52	11	年間休日120日以上
11	64	5	賞与複数月
12	13	6	上場企業
13	17	7	転勤なし
14	75	33	平日夜・土日面接可
15	61	18	面接1回
16	22	19	高成長企業
17	42	22	公的機関
18	68	34	駅から徒歩5分
19	85	8	前年度有給消化率８割以上
20	132	21	英語を活かせる
22	69	15	業界未経験歓迎
24	60	14	管理職採用
25	31	17	U・Iターン歓迎
26	67	12	土日祝日休み
27	56	13	住宅手当・家賃補助制度あり
28	48	27	服装自由
29	86	26	産休育休実績あり
30	97	25	ワーキングマザーが在籍
31	55	24	マイカー通勤可
33	78	23	理系出身者歓迎
34	79	10	新規事業・スタートアップメンバー
68	29	20	海外勤務あり
69	94	32	在宅勤務可
70	95	9	リモートワーク可
71	43	28	平均年齢20代
72	96	32	平均年齢30代
73	44	29	女性社員5割以上
74	98	30	女性マネージャーが在籍
