#skill								TUD					type側			
No	Code	Sort	大分類	Code	Sort	小分類	対象外	TUDでの連携案	大分類	中分類	小分類	メモ	スキルカテゴリ	スキル大分類	中分類	小分類
1	Grp1	1	技術系（システム・ネットワーク）	1	1	要件定義（オープン・Web系）		◯	技術系（システム・ネットワーク）	経験業務	要件定義（オープン・Web系）		ITエンジニア関連職種	経験業務	システム開発（オープン・Web系）	要件定義
2	Grp1	2	技術系（システム・ネットワーク）	2	2	基本設計（オープン・Web系）		◯	技術系（システム・ネットワーク）	経験業務	基本設計（オープン・Web系）		ITエンジニア関連職種	経験業務	システム開発（オープン・Web系）	基本設計
3	Grp1	3	技術系（システム・ネットワーク）	3	3	詳細設計（オープン・Web系）		◯	技術系（システム・ネットワーク）	経験業務	詳細設計（オープン・Web系）		ITエンジニア関連職種	経験業務	システム開発（オープン・Web系）	詳細設計
4	Grp1	4	技術系（システム・ネットワーク）	4	4	プログラミング（オープン・Web系）		◯	技術系（システム・ネットワーク）	経験業務	プログラミング（オープン・Web系）		ITエンジニア関連職種	経験業務	システム開発（オープン・Web系）	プログラミング
5	Grp1	5	技術系（システム・ネットワーク）	5	5	テスティング（オープン・Web系）		◯	技術系（システム・ネットワーク）	経験業務	テスティング（オープン・Web系）		ITエンジニア関連職種	経験業務	システム開発（オープン・Web系）	テスティング
6	Grp1	6	技術系（システム・ネットワーク）	6	6	要件定義（制御・ファームウェア・組込系）		◯	技術系（システム・ネットワーク）	経験業務	要件定義（制御・ファームウェア・組込系）		ITエンジニア関連職種	経験業務	システム開発（制御・ファームウェア・組込系）	要件定義
7	Grp1	7	技術系（システム・ネットワーク）	7	7	基本設計（制御・ファームウェア・組込系）		◯	技術系（システム・ネットワーク）	経験業務	基本設計（制御・ファームウェア・組込系）		ITエンジニア関連職種	経験業務	システム開発（制御・ファームウェア・組込系）	基本設計
8	Grp1	8	技術系（システム・ネットワーク）	8	8	詳細設計（制御・ファームウェア・組込系）		◯	技術系（システム・ネットワーク）	経験業務	詳細設計（制御・ファームウェア・組込系）		ITエンジニア関連職種	経験業務	システム開発（制御・ファームウェア・組込系）	詳細設計
9	Grp1	9	技術系（システム・ネットワーク）	9	9	プログラミング（制御・ファームウェア・組込系）		◯	技術系（システム・ネットワーク）	経験業務	プログラミング（制御・ファームウェア・組込系）		ITエンジニア関連職種	経験業務	システム開発（制御・ファームウェア・組込系）	プログラミング
10	Grp1	10	技術系（システム・ネットワーク）	10	10	テスティング（制御・ファームウェア・組込系）		◯	技術系（システム・ネットワーク）	経験業務	テスティング（制御・ファームウェア・組込系）		ITエンジニア関連職種	経験業務	システム開発（制御・ファームウェア・組込系）	テスティング
11	Grp1	11	技術系（システム・ネットワーク）	11	11	要件定義（汎用機系）		◯	技術系（システム・ネットワーク）	経験業務	要件定義（汎用機系）		ITエンジニア関連職種	経験業務	システム開発（汎用機系）	要件定義
12	Grp1	12	技術系（システム・ネットワーク）	12	12	基本設計（汎用機系）		◯	技術系（システム・ネットワーク）	経験業務	基本設計（汎用機系）		ITエンジニア関連職種	経験業務	システム開発（汎用機系）	基本設計
13	Grp1	13	技術系（システム・ネットワーク）	13	13	詳細設計（汎用機系）		◯	技術系（システム・ネットワーク）	経験業務	詳細設計（汎用機系）		ITエンジニア関連職種	経験業務	システム開発（汎用機系）	詳細設計
14	Grp1	14	技術系（システム・ネットワーク）	14	14	プログラミング（汎用機系）		◯	技術系（システム・ネットワーク）	経験業務	プログラミング（汎用機系）		ITエンジニア関連職種	経験業務	システム開発（汎用機系）	プログラミング
15	Grp1	15	技術系（システム・ネットワーク）	15	15	テスティング（汎用機系）		◯	技術系（システム・ネットワーク）	経験業務	テスティング（汎用機系）		ITエンジニア関連職種	経験業務	システム開発（汎用機系）	テスティング
16		0		16	0	研究開発	対象外	×			研究開発		ITエンジニア関連職種	経験業務	パッケージソフト・OS開発	研究開発
17		0		17	0	プロダクト開発	対象外	×			プロダクト開発		ITエンジニア関連職種	経験業務	パッケージソフト・OS開発	プロダクト開発
18		0		18	0	ローカライズ	対象外	×			ローカライズ		ITエンジニア関連職種	経験業務	パッケージソフト・OS開発	ローカライズ
19		0		19	0	テスティング	対象外	×			テスティング		ITエンジニア関連職種	経験業務	パッケージソフト・OS開発	テスティング
20		0		20	0	ネットワーク設計・構築	対象外	×			ネットワーク設計・構築		ITエンジニア関連職種	経験業務	ネットワーク・サーバ・DB設計、運用	ネットワーク設計・構築
21		0		21	0	ネットワーク運用・保守・監視	対象外	×			ネットワーク運用・保守・監視		ITエンジニア関連職種	経験業務	ネットワーク・サーバ・DB設計、運用	ネットワーク運用・保守・監視
22		0		22	0	サーバ設計・構築	対象外	×			サーバ設計・構築		ITエンジニア関連職種	経験業務	ネットワーク・サーバ・DB設計、運用	サーバ設計・構築
23		0		23	0	サーバ運用・保守	対象外	×			サーバ運用・保守		ITエンジニア関連職種	経験業務	ネットワーク・サーバ・DB設計、運用	サーバ運用・保守
24	Grp1	24	技術系（システム・ネットワーク）	24	24	データベース論理設計		◯	技術系（システム・ネットワーク）	経験業務	データベース論理設計		ITエンジニア関連職種	経験業務	ネットワーク・サーバ・DB設計、運用	データベース論理設計
25	Grp1	25	技術系（システム・ネットワーク）	25	25	データベース物理設計		◯	技術系（システム・ネットワーク）	経験業務	データベース物理設計		ITエンジニア関連職種	経験業務	ネットワーク・サーバ・DB設計、運用	データベース物理設計
26	Grp1	26	技術系（システム・ネットワーク）	26	26	データベースチューニング		◯	技術系（システム・ネットワーク）	経験業務	データベースチューニング		ITエンジニア関連職種	経験業務	ネットワーク・サーバ・DB設計、運用	データベースチューニング
