#salary			TUD	type側
No	Code	Sort	年収	年収
1	200	1	200万円	200万円
2	250	2	250万円	250万円
3	300	3	300万円	300万円
4	350	4	350万円	350万円
5	400	5	400万円	400万円
6	450	6	450万円	450万円
7	500	7	500万円	500万円
8	550	8	550万円	550万円
9	600	9	600万円	600万円
10	650	10	650万円	650万円
11	700	11	700万円	700万円
12	750	12	750万円	750万円
13	800	13	800万円	800万円
14	850	14	850万円	850万円
15	900	15	900万円	900万円
16	950	16	950万円	950万円
17	1000	17	1000万円	1000万円
18	1050	18	1050万円	1050万円
19	1100	19	1100万円	1100万円
20	1150	20	1150万円	1150万円
21	1200	21	1200万円	1200万円
22	1250	22	1250万円	1250万円
23	1300	23	1300万円	1300万円
24	1350	24	1350万円	1350万円
25	1400	25	1400万円	1400万円
26	1450	26	1450万円	1450万円
27	1500	27	1500万円	1500万円
